，  3550 5.11299%
的  2382 3.430744%
  1758 2.53201%

  1758 2.53201%
我  1414 2.036554%
一  1175 1.692328%
了  1129 1.626075%
是  1090 1.569904%
。  1063 1.531016%
不  972 1.399951%
”  755 1.087411%
“  754 1.08597%
有  577 0.8310409%
人  530 0.7633478%
道  511 0.7359825%
来  507 0.7302214%
子  446 0.6423644%
在  441 0.6351629%
那  432 0.6222004%
她  428 0.6164393%
大  409 0.589074%
上  351 0.5055379%
这  343 0.4940156%
个  319 0.459449%
就  308 0.4436059%
无  304 0.4378448%
心  298 0.4292031%
？  296 0.4263225%
也  296 0.4263225%
出  287 0.41336%
过  287 0.41336%
然  278 0.4003975%
看  268 0.3859947%
容  261 0.3759128%
下  253 0.3643906%
他  251 0.36151%
说  243 0.3499877%
∶  243 0.3499877%
著  239 0.3442266%
到  239 0.3442266%
可  238 0.3427864%
麽  234 0.3370253%
和  223 0.3211822%
你  223 0.3211822%
江  220 0.3168613%
中  219 0.3154211%
没  215 0.30966%
起  212 0.3053391%
些  208 0.299578%
家  206 0.2966974%
身  205 0.2952572%
里  203 0.2923766%
慕  203 0.2923766%
得  195 0.2808544%
瑕  195 0.2808544%
女  194 0.2794141%
便  192 0.2765335%
老  191 0.2750933%
声  189 0.2722127%
只  188 0.2707724%
宝  188 0.2707724%
好  187 0.2693321%
想  184 0.2650113%
还  184 0.2650113%
笑  181 0.2606905%
眼  181 0.2606905%
而  175 0.2520488%
手  174 0.2506085%
要  172 0.247728%
之  172 0.247728%
却  171 0.2462877%
让  170 0.2448474%
知  168 0.2419668%
把  167 0.2405266%
头  164 0.2362057%
都  162 0.2333252%
！  159 0.2290043%
湖  158 0.2275641%
时  157 0.2261238%
对  157 0.2261238%
真  157 0.2261238%
娘  154 0.2218029%
意  147 0.211721%
小  146 0.2102807%
师  140 0.201639%
自  139 0.2001988%
天  137 0.1973182%
生  133 0.1915571%
话  133 0.1915571%
事  132 0.1901168%
脸  131 0.1886765%
奶  131 0.1886765%
後  130 0.1872362%
能  128 0.1843557%
听  128 0.1843557%
去  128 0.1843557%
二  125 0.1800349%
已  125 0.1800349%
前  124 0.1785946%
动  123 0.1771543%
为  122 0.175714%
、  122 0.175714%
会  121 0.1742737%
经  116 0.1670723%
多  116 0.1670723%
正  115 0.1656321%
解  114 0.1641918%
