，	14773	8.249846%
的	9788	5.466019%
我	5319	2.970347%
了	4695	2.62188%
。	4663	2.60401%
“	2805	1.566427%
”	2776	1.550232%
是	2707	1.511699%
在	1671	0.9331546%
一	1618	0.9035572%
不	1617	0.9029988%
她	1399	0.7812587%
？	1328	0.7416095%
也	1206	0.6734796%
就	1169	0.6528173%
这	1034	0.5774278%
那	957	0.5344279%
他	941	0.5254928%
有	906	0.5059474%
和	904	0.5048305%
都	684	0.3819735%
人	676	0.377506%
！	664	0.3708047%
∶	656	0.3663372%
把	655	0.3657787%
个	644	0.3596359%
便	621	0.3467917%
上	621	0.3467917%
看	615	0.3434411%
你	606	0.3384151%
说	587	0.3278048%
让	568	0.3171944%
却	534	0.2982074%
来	531	0.2965321%
著	512	0.2859217%
知道	509	0.2842464%
萧潇	489	0.2730776%
出	475	0.2652594%
可	473	0.2641425%
没有	472	0.2635841%
道	469	0.2619087%
还	465	0.259675%
里	461	0.2574412%
两	453	0.2529737%
不过	449	0.2507399%
、	448	0.2501815%
一个	442	0.2468309%
要	440	0.245714%
而	432	0.2412464%
会	416	0.2323114%
玲珑	413	0.2306361%
去	394	0.2200257%
并	393	0.2194673%
过	393	0.2194673%
到	390	0.2177919%
又	383	0.2138828%
想	379	0.2116491%
已经	371	0.2071815%
没	365	0.2038309%
能	363	0.202714%
大	359	0.2004803%
对	344	0.1921036%
江湖	343	0.1915452%
有些	343	0.1915452%
只	342	0.1909868%
得	341	0.1904283%
吗	328	0.1831686%
吧	327	0.1826102%
好	317	0.1770258%
什麽	315	0.1759089%
十二	312	0.1742335%
被	309	0.1725582%
脸上	303	0.1692076%
才	303	0.1692076%
呀	300	0.1675323%
给	294	0.1641816%
多	286	0.1597141%
听	285	0.1591556%
玉珑	277	0.1546881%
很	268	0.1496621%
真	267	0.1491037%
之	263	0.1468699%
虽然	260	0.1451946%
奶	259	0.1446362%
麽	257	0.1435193%
无暇	254	0.141844%
大江盟	252	0.1407271%
鲁卫	252	0.1407271%
中	250	0.1396102%
只是	249	0.1390518%
从	240	0.1340258%
连环	235	0.1312336%
自己	234	0.1306752%
起	232	0.1295583%
小	231	0.1289998%
下	227	0.1267661%
时候	224	0.1250907%
它	216	0.1206232%
坞	212	0.1183895%
公子	208	0.1161557%
慕容	207	0.1155973%
连	206	0.1150388%
呢	201	0.1122466%
笑道	201	0.1122466%
玉玲	200	0.1116882%
几	199	0.1111297%
似乎	197	0.1100128%
春水剑派	195	0.108896%
六娘	195	0.108896%
还是	194	0.1083375%
无瑕	194	0.1083375%
姐妹	193	0.1077791%
三	192	0.1072206%
怎麽	192	0.1072206%
像	186	0.10387%
因为	184	0.1027531%
夫人	183	0.1021947%
师父	182	0.1016362%
起来	182	0.1016362%
这个	179	0.09996091%
不是	179	0.09996091%
话	175	0.09772714%
等	170	0.09493494%
进	170	0.09493494%
用	169	0.0943765%
正	168	0.09381806%
突然	167	0.09325962%
他们	166	0.09270118%
玉	165	0.09214274%
看到	163	0.09102586%
再	160	0.08935054%
更	160	0.08935054%
那些	160	0.08935054%
心中	158	0.08823365%
；	150	0.08376613%
问	150	0.08376613%
魔门	150	0.08376613%
死	148	0.08264925%
比	148	0.08264925%
武功	148	0.08264925%
那个	147	0.0820908%
与	147	0.0820908%
苏州	147	0.0820908%
出来	146	0.08153236%
太	143	0.07985704%
叫	142	0.0792986%
一声	141	0.07874016%
一眼	141	0.07874016%
些	141	0.07874016%
淫贼	140	0.07818171%
做	140	0.07818171%
脸	138	0.07706483%
汉子	137	0.07650639%
女人	137	0.07650639%
姑娘	130	0.07259731%
身上	130	0.07259731%
魏柔	128	0.07148042%
身子	127	0.07092199%
走	126	0.07036354%
这样	125	0.0698051%
孙妙	125	0.0698051%
前	124	0.06924666%
年	124	0.06924666%
住	123	0.06868822%
手	122	0.06812979%
家	122	0.06812979%
宝大祥	121	0.06757134%
倒	117	0.06533758%
恐怕	117	0.06533758%
该	117	0.06533758%
看来	117	0.06533758%
后	116	0.06477914%
真是	115	0.0642207%
最	114	0.06366225%
望著	113	0.06310382%
目光	113	0.06310382%
心里	113	0.06310382%
