，	35167	8.03204%
的	22893	5.228694%
我	12198	2.785987%
了	11407	2.605325%
。	9658	2.205859%
“	6584	1.503766%
是	6511	1.487093%
”	6495	1.483439%
在	4115	0.9398539%
不	3623	0.8274826%
一	3540	0.8085256%
她	3145	0.7183087%
就	3087	0.7050617%
？	3004	0.6861048%
也	2987	0.682222%
他	2818	0.6436229%
！	2721	0.6214684%
这	2470	0.5641407%
那	2274	0.5193749%
你	2123	0.484887%
有	2114	0.4828314%
和	2054	0.4691276%
都	1899	0.433726%
人	1819	0.4154543%
说	1583	0.3615526%
个	1580	0.3608674%
把	1574	0.359497%
上	1525	0.3483055%
可	1499	0.3423672%
：	1448	0.3307189%
让	1410	0.3220399%
来	1402	0.3202127%
却	1381	0.3154163%
而	1362	0.3110768%
道	1312	0.299657%
、	1282	0.292805%
里	1179	0.2692801%
便	1174	0.2681381%
还	1147	0.2619714%
看	1146	0.261743%
出	1090	0.2489528%
着	1068	0.2439281%
没有	1067	0.2436997%
一个	1054	0.2407305%
要	1050	0.2398169%
知道	1043	0.2382181%
去	1035	0.236391%
两	1028	0.2347922%
大	1012	0.2311378%
已经	1011	0.2309094%
到	1005	0.2295391%
得	968	0.2210884%
又	968	0.2210884%
吧	906	0.2069277%
过	895	0.2044154%
江湖	885	0.2021314%
想	880	0.2009894%
会	875	0.1998474%
∶	871	0.1989338%
对	865	0.1975635%
能	857	0.1957363%
不过	840	0.1918535%
地	833	0.1902547%
呀	825	0.1884276%
没	819	0.1870572%
并	817	0.1866004%
呢	798	0.1822609%
好	792	0.1808905%
无瑕	789	0.1802053%
只	779	0.1779213%
只是	777	0.1774645%
被	753	0.171983%
多	749	0.1710694%
给	742	0.1694706%
萧潇	730	0.1667299%
自己	726	0.1658163%
吗	722	0.1649027%
中	712	0.1626187%
之	708	0.1617051%
大江盟	679	0.1550816%
虽然	668	0.1525692%
玲珑	663	0.1514273%
听	646	0.1475445%
有些	640	0.1461741%
真	639	0.1459457%
从	637	0.1454889%
慕容	637	0.1454889%
与	624	0.1425198%
才	613	0.1400074%
著	599	0.1368098%
时候	579	0.1322419%
起来	574	0.1310999%
似乎	563	0.1285875%
下	560	0.1279024%
