，	3844	9.139542%
的	1908	4.536484%
了	1047	2.48936%
我	864	2.054257%
。	711	1.690482%
是	540	1.283911%
“	529	1.257757%
”	507	1.205449%
在	433	1.029506%
他	408	0.9700658%
一	347	0.8250315%
！	337	0.8012554%
不	331	0.7869897%
就	278	0.6609762%
也	266	0.6324449%
？	232	0.5516061%
有	208	0.4945434%
而	200	0.4755225%
和	198	0.4707673%
：	192	0.4565016%
你	189	0.4493687%
人	188	0.4469911%
她	188	0.4469911%
着	185	0.4398583%
可	182	0.4327255%
都	162	0.3851732%
这	161	0.3827956%
那	153	0.3637747%
却	150	0.3566419%
上	150	0.3566419%
来	149	0.3542643%
道	138	0.3281105%
倭寇	137	0.3257329%
把	134	0.3186001%
大	134	0.3186001%
两	130	0.3090896%
个	125	0.2972015%
到	117	0.2781807%
地	116	0.275803%
说	115	0.2734254%
让	114	0.2710478%
才	114	0.2710478%
自己	111	0.263915%
呢	108	0.2567821%
里	106	0.2520269%
还	106	0.2520269%
去	106	0.2520269%
没有	104	0.2472717%
出	104	0.2472717%
要	103	0.2448941%
知道	102	0.2425165%
被	100	0.2377612%
沈熠	100	0.2377612%
又	97	0.2306284%
已经	96	0.2282508%
听	94	0.2234956%
只是	91	0.2163627%
、	91	0.2163627%
与	91	0.2163627%
宗设	89	0.2116075%
只	87	0.2068523%
没	85	0.2020971%
中	82	0.1949642%
能	82	0.1949642%
解雨	81	0.1925866%
虽然	80	0.190209%
什么	80	0.190209%
立花	80	0.190209%
沈家	78	0.1854538%
从	78	0.1854538%
想	78	0.1854538%
……	78	0.1854538%
一个	77	0.1830762%
过	75	0.1783209%
多	74	0.1759433%
对	73	0.1735657%
下	73	0.1735657%
得	73	0.1735657%
起来	73	0.1735657%
便	73	0.1735657%
竟	72	0.1711881%
已	71	0.1688105%
几	68	0.1616776%
会	66	0.1569224%
见	65	0.1545448%
吧	64	0.1521672%
并	63	0.1497896%
后	61	0.1450344%
家	61	0.1450344%
更	60	0.1426567%
好	59	0.1402791%
他们	54	0.1283911%
孙妙	54	0.1283911%
该	53	0.1260135%
唐五经	52	0.1236358%
勘助	51	0.1212582%
敌人	51	0.1212582%
似乎	50	0.1188806%
将	50	0.1188806%
心中	50	0.1188806%
给	50	0.1188806%
看	50	0.1188806%
这么	49	0.116503%
向	49	0.116503%
起	48	0.1141254%
之	48	0.1141254%
辎兵	46	0.1093702%
不过	46	0.1093702%
松江	46	0.1093702%
怎么	45	0.1069926%
顿时	44	0.1046149%
死	43	0.1022373%
宋素卿	43	0.1022373%
因为	43	0.1022373%
真	43	0.1022373%
自然	43	0.1022373%
邱鸿声	42	0.09985972%
三	41	0.09748211%
刀	41	0.09748211%
成	41	0.09748211%
江湖	41	0.09748211%
再	40	0.09510449%
出来	40	0.09510449%
还是	39	0.09272689%
吗	39	0.09272689%
大人	39	0.09272689%
不是	38	0.09034927%
啊	38	0.09034927%
等	38	0.09034927%
一声	37	0.08797166%
如	37	0.08797166%
沈百万	37	0.08797166%
进	36	0.08559404%
二	36	0.08559404%
唐门	36	0.08559404%
唐三藏	36	0.08559404%
沈	36	0.08559404%
魏柔	36	0.08559404%
连	35	0.08321644%
为	35	0.08321644%
正	35	0.08321644%
公子	34	0.08083882%
杀	34	0.08083882%
做	34	0.08083882%
；	33	0.07846121%
唐	33	0.07846121%
可能	33	0.07846121%
这样	33	0.07846121%
太	33	0.07846121%
宝亭	33	0.07846121%
吃	32	0.0760836%
们	32	0.0760836%
住	32	0.0760836%
五	32	0.0760836%
那么	32	0.0760836%
倒是	32	0.0760836%
则	31	0.07370599%
比	31	0.07370599%
用	31	0.07370599%
快	31	0.07370599%
或许	31	0.07370599%
落	30	0.07132837%
少	30	0.07132837%
四	30	0.07132837%
真是	30	0.07132837%
