，	4092	9.268403%
的	1511	3.422424%
我	1174	2.659117%
了	1113	2.520951%
。	820	1.857305%
“	808	1.830125%
”	789	1.787089%
是	549	1.243488%
你	498	1.127973%
！	447	1.012457%
不	403	0.9127973%
一	401	0.9082673%
她	396	0.8969423%
？	372	0.8425821%
就	364	0.8244621%
：	351	0.795017%
在	329	0.7451869%
那	293	0.6636466%
他	265	0.6002265%
这	254	0.5753114%
却	231	0.5232163%
着	230	0.5209513%
宁馨	206	0.4665912%
也	204	0.4620612%
道	193	0.4371461%
可	190	0.4303511%
说	189	0.4280861%
都	187	0.4235561%
有	185	0.419026%
地	183	0.414496%
来	155	0.3510759%
上	146	0.3306908%
个	141	0.3193658%
去	138	0.3125708%
要	137	0.3103058%
和	136	0.3080408%
少女	135	0.3057758%
人	134	0.3035108%
而	127	0.2876557%
没	125	0.2831257%
把	120	0.2718007%
又	120	0.2718007%
两	118	0.2672707%
……	113	0.2559457%
得	112	0.2536806%
出	111	0.2514156%
看	110	0.2491506%
想	107	0.2423556%
才	107	0.2423556%
起来	106	0.2400906%
里	103	0.2332956%
让	103	0.2332956%
到	103	0.2332956%
之	103	0.2332956%
知道	103	0.2332956%
魏柔	100	0.2265006%
还	98	0.2219706%
大	96	0.2174405%
好	93	0.2106455%
什么	93	0.2106455%
一个	89	0.2015855%
听	88	0.1993205%
被	87	0.1970555%
对	87	0.1970555%
过	86	0.1947905%
充耀	85	0.1925255%
自己	83	0.1879955%
、	82	0.1857305%
怎么	82	0.1857305%
能	80	0.1812005%
下	79	0.1789355%
会	73	0.1653454%
与	72	0.1630804%
只	72	0.1630804%
见	72	0.1630804%
吧	71	0.1608154%
只是	69	0.1562854%
起	68	0.1540204%
多	66	0.1494904%
给	64	0.1449604%
这么	62	0.1404303%
师傅	61	0.1381653%
已	60	0.1359003%
胡同	60	0.1359003%
走	59	0.1336353%
吗	59	0.1336353%
小	57	0.1291053%
中	57	0.1291053%
心中	57	0.1291053%
呢	56	0.1268403%
竟	55	0.1245753%
目光	55	0.1245753%
倒	54	0.1223103%
没有	54	0.1223103%
真	53	0.1200453%
不过	53	0.1200453%
几	52	0.1177803%
不是	51	0.1155153%
虽然	50	0.1132503%
书生	50	0.1132503%
皇上	50	0.1132503%
住	49	0.1109853%
这个	48	0.1087203%
丫头	48	0.1087203%
顿时	47	0.1064553%
一声	46	0.1041903%
呀	46	0.1041903%
三	43	0.09739524%
做	43	0.09739524%
进	42	0.09513023%
等	42	0.09513023%
从	42	0.09513023%
话	42	0.09513023%
白	42	0.09513023%
更	41	0.09286523%
再	41	0.09286523%
突然	41	0.09286523%
自然	41	0.09286523%
人家	40	0.09060023%
太	40	0.09060023%
正	39	0.08833522%
便	39	0.08833522%
笑道	39	0.08833522%
家	38	0.08607022%
似乎	38	0.08607022%
身上	38	0.08607022%
连	38	0.08607022%
心里	38	0.08607022%
天	37	0.08380521%
一眼	37	0.08380521%
向	37	0.08380521%
姑娘	37	0.08380521%
身份	37	0.08380521%
公子	36	0.0815402%
为	35	0.0792752%
已经	35	0.0792752%
脸上	35	0.0792752%
点	35	0.0792752%
叫	35	0.0792752%
像	35	0.0792752%
别	34	0.07701019%
老头	34	0.07701019%
怕	34	0.07701019%
哥哥	33	0.07474519%
下来	33	0.07474519%
笑	33	0.07474519%
竟然	32	0.07248018%
邵元节	32	0.07248018%
发	32	0.07248018%
明白	32	0.07248018%
用	32	0.07248018%
百花楼	32	0.07248018%
牡丹	32	0.07248018%
练青霓	32	0.07248018%
还是	31	0.07021517%
少年	31	0.07021517%
问	31	0.07021517%
声音	31	0.07021517%
将	31	0.07021517%
哪	31	0.07021517%
江湖	31	0.07021517%
京城	31	0.07021517%
李佟	31	0.07021517%
那个	30	0.06795017%
心	30	0.06795017%
变	30	0.06795017%
谁	30	0.06795017%
啊	30	0.06795017%
出来	30	0.06795017%
比	29	0.06568517%
望着	29	0.06568517%
若是	29	0.06568517%
死	29	0.06568517%
找	29	0.06568517%
他们	28	0.06342016%
脸	28	0.06342016%
并	28	0.06342016%
早	27	0.06115515%
众人	27	0.06115515%
一丝	27	0.06115515%
那么	27	0.06115515%
买	27	0.06115515%
云仙	27	0.06115515%
东山	27	0.06115515%
如	26	0.05889015%
这儿	26	0.05889015%
银子	26	0.05889015%
‘	26	0.05889015%
沈篱子	26	0.05889015%
似	25	0.05662514%
打	25	0.05662514%
几乎	25	0.05662514%
一般	25	0.05662514%
身子	25	0.05662514%
真是	25	0.05662514%
口	25	0.05662514%
地方	25	0.05662514%
回	25	0.05662514%
眼下	25	0.05662514%
’	25	0.05662514%
手	25	0.05662514%
因为	24	0.05436014%
自	24	0.05436014%
一阵	24	0.05436014%
倒是	24	0.05436014%
告诉	24	0.05436014%
很	24	0.05436014%
所	24	0.05436014%
一样	23	0.05209513%
落	23	0.05209513%
如何	23	0.05209513%
一切	23	0.05209513%
双	23	0.05209513%
该	23	0.05209513%
一下子	23	0.05209513%
赫伯权	23	0.05209513%
问道	23	0.05209513%
显灵宫	23	0.05209513%
微微	22	0.04983012%
坐	22	0.04983012%
若	22	0.04983012%
声	22	0.04983012%
二	22	0.04983012%
跟	22	0.04983012%
妹妹	21	0.04756512%
转	21	0.04756512%
不由	21	0.04756512%
张	21	0.04756512%
当然	21	0.04756512%
事情	21	0.04756512%
杜老四	21	0.04756512%
兄妹	21	0.04756512%
立刻	21	0.04756512%
时候	21	0.04756512%
模样	21	0.04756512%
望	21	0.04756512%
己	21	0.04756512%
一边	21	0.04756512%
如此	20	0.04530011%
后	20	0.04530011%
竟是	20	0.04530011%
成	20	0.04530011%
冲	20	0.04530011%
快	20	0.04530011%
兰	20	0.04530011%
它	20	0.04530011%
一笑	20	0.04530011%
说话	20	0.04530011%
无	20	0.04530011%
发现	20	0.04530011%
就是	20	0.04530011%
想来	20	0.04530011%
一下	20	0.04530011%
前	20	0.04530011%
俩	20	0.04530011%
你们	20	0.04530011%
一番	20	0.04530011%
听到	20	0.04530011%
可是	20	0.04530011%
不知	20	0.04530011%
；	20	0.04530011%
王爷	20	0.04530011%
最	19	0.04303511%
极	19	0.04303511%
放	19	0.04303511%
想起	19	0.04303511%
仔细	19	0.04303511%
看到	19	0.04303511%
当	19	0.04303511%
粉子	19	0.04303511%
刚	19	0.04303511%
王动	19	0.04303511%
哥	19	0.04303511%
心头	18	0.0407701%
原来	18	0.0407701%
显然	18	0.0407701%
白澜	18	0.0407701%
带	18	0.0407701%
身	18	0.0407701%
眼中	18	0.0407701%
——	18	0.0407701%
未	18	0.0407701%
气	18	0.0407701%
喜欢	18	0.0407701%
洪七	18	0.0407701%
究竟	18	0.0407701%
姐姐	18	0.0407701%
哪儿	17	0.0385051%
似的	17	0.0385051%
吃	17	0.0385051%
哼	17	0.0385051%
弄	17	0.0385051%
敢	17	0.0385051%
出去	17	0.0385051%
怀里	17	0.0385051%
少	17	0.0385051%
不敢	17	0.0385051%
老者	17	0.0385051%
淫贼	17	0.0385051%
有些	17	0.0385051%
三哥	17	0.0385051%
启	17	0.0385051%
觉得	16	0.03624009%
而且	16	0.03624009%
眼前	16	0.03624009%
拉	16	0.03624009%
，一面	16	0.03624009%
字	16	0.03624009%
总	16	0.03624009%
见到	16	0.03624009%
替	16	0.03624009%
朝	16	0.03624009%
十	16	0.03624009%
大概	16	0.03624009%
妇人	16	0.03624009%
您	16	0.03624009%
眼睛	16	0.03624009%
一时	16	0.03624009%
请	16	0.03624009%
四	16	0.03624009%
女	16	0.03624009%
一句	16	0.03624009%
透	15	0.03397508%
轻	15	0.03397508%
过来	15	0.03397508%
事	15	0.03397508%
功夫	15	0.03397508%
还有	15	0.03397508%
脸色	15	0.03397508%
句	15	0.03397508%
就算	15	0.03397508%
现在	15	0.03397508%
地道	15	0.03397508%
郡主	15	0.03397508%
离开	15	0.03397508%
方才	15	0.03397508%
间	15	0.03397508%
清楚	15	0.03397508%
鹿灵犀	15	0.03397508%
丫鬟	15	0.03397508%
大家	14	0.03171008%
果然	14	0.03171008%
汉子	14	0.03171008%
喊	14	0.03171008%
看看	14	0.03171008%
此	14	0.03171008%
年	14	0.03171008%
可以	14	0.03171008%
邵	14	0.03171008%
蓦地	14	0.03171008%
传来	14	0.03171008%
狠狠	14	0.03171008%
武功	14	0.03171008%
两人	14	0.03171008%
想到	14	0.03171008%
一起	14	0.03171008%
小子	14	0.03171008%
飞快	14	0.03171008%
嘛	14	0.03171008%
为了	14	0.03171008%
惊讶	14	0.03171008%
沉吟	14	0.03171008%
屋子	14	0.03171008%
先	14	0.03171008%
今儿	14	0.03171008%
言	14	0.03171008%
难道	14	0.03171008%
陆昕	14	0.03171008%
